"REF_DATE,""GEO"",""DGUID"",""Sex"",""Age group"",""Activity"",""Period of the week"",""Student response"",""UOM"",""UOM_ID"",""SCALAR_FACTOR"",""SCALAR_ID"",""VECTOR"",""COORDINATE"",""VALUE"",""STATUS"",""SYMBOL"",""TERMINATED"",""DECIMALS"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekend"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816913"",""3.1.1.2.2.2"",""16"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekend"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816914"",""3.1.1.2.2.3"",""21"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekend"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816915"",""3.1.1.2.2.4"",""22"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekend"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816916"",""3.1.1.2.2.5"",""12"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekend"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816917"",""3.1.1.2.2.6"",""5"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekend"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816918"",""3.1.1.2.2.7"",""4"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekend"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816919"",""3.1.1.2.2.8"",""2"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""11 years"",""Using a computer"",""Weekend"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816920"",""3.1.1.2.2.9"",""6"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekdays"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816921"",""3.1.2.1.1.1"",""6"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekdays"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816922"",""3.1.2.1.1.2"",""13"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekdays"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816923"",""3.1.2.1.1.3"",""21"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekdays"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816924"",""3.1.2.1.1.4"",""25"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekdays"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816925"",""3.1.2.1.1.5"",""11"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekdays"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816926"",""3.1.2.1.1.6"",""12"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekdays"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816927"",""3.1.2.1.1.7"",""5"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekdays"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816928"",""3.1.2.1.1.8"",""2"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekdays"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816929"",""3.1.2.1.1.9"",""4"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekend"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816930"",""3.1.2.1.2.1"",""2"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekend"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816931"",""3.1.2.1.2.2"",""5"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekend"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816932"",""3.1.2.1.2.3"",""11"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekend"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816933"",""3.1.2.1.2.4"",""18"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekend"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816934"",""3.1.2.1.2.5"",""20"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekend"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816935"",""3.1.2.1.2.6"",""14"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekend"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816936"",""3.1.2.1.2.7"",""11"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekend"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816937"",""3.1.2.1.2.8"",""6"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Watching television"",""Weekend"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816938"",""3.1.2.1.2.9"",""14"","""","""","""",""0"""
